gid,boro_ct201,total_population,MRR2010,MRR20pctthreshold,strategy_code,race_total,race_white,race_black,race_native_american,race_asian,race_hawaiian,race_other,race_hispanic,language_total_pop,Total 5+,Speak only English,Speak a Language Other than English at Home,Spanish,French (incl. Cajun),Haitian,Italian,Portuguese,German,"Yiddish, Pennsylvania Dutch or other West Germanic languages",Greek,Russian,Polish,Serbo-Croatian,Ukrainian or other Slavic languages,Armenian,"Persian (incl. Farsi, Dari)",Gujarati,Hindi,Urdu,Punjabi,Bengali,"Nepali, Marathi, or other Indic languages",Other Indo-European languages,Telugu,Tamil,"Malayalam, Kannada, or other Dravidian languages","Chinese (incl. Mandarin, Cantonese)",Japanese,Korean,Hmong,Vietnamese,Khmer,"Thai, Lao, or other Tai-Kadai languages",Other languages of Asia,Tagalog (incl. Filipino),"Ilocano, Samoan, Hawaiian, or other Austronesian languages",Arabic,Hebrew,"Amharic, Somali, or other Afro-Asiatic languages","Yoruba, Twi, Igbo, or other languages of Western Africa","Swahili or other languages of Central, Eastern, and Southern Africa",Navajo,Other Native languages of North America,Other and unspecified languages,foreign_born_total,foreign_born_native,foreign_born_foreign,own_vs_rent_total,own_vs_rent_owner,own_vs_rent_rent,hosehold_size_total,household_size_owner_occupied,household_size_renter_occupied,internet_total,internet_subscription,internet_no_subscription,internet_no_access,age_total,age_less_5,age_6_15,age_16_64,age_64_over,median_income,pc_below_poverty,income_houses_total,homes_below_poverty,english_total_households,english_english,english_spanish,english_european,english_asian,english_other,bilingual,Geographic Area Name,Estimate!!Total!!Subject!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years,Estimate!!Total!!Subject!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years,Estimate!!Total!!Subject!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 18 to 64 years,Estimate!!Total!!Subject!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 18 to 64 years,Estimate!!Total!!Subject!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 18 to 64 years,Estimate!!Total!!Subject!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 18 to 64 years,hearing_difficulty,vision_difficulty,cognative_difficulty,ambulatory_difficulty,self_care_difficulty,independent_living_difficulty,resp_2010,CRRALL,CRRINT,DRRALL,DRRINT,HISTORIC_RESP_RATE,county,boro_number,diff_2020_2010
36005042902,2042902,4205,67.7,1,3,4205,210,977,19,198,0,22,2744,4445,3830,1350,3860,3555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,4205,2333,1872,1599,157,1442,2.56,2.05,2.61,1599,1169,11,419,4205,418,410,3171,460,31678,37.6,1599,601.224,1599,1296,273,30,0,0,647,"Census Tract 429.02, Bronx County, New York",2733,2733,2733,2733,2733,2733,2733,2733,2733,2733,2733,2733,61.1,52.5,31.1,0.3,0.1,58,5,2,8.6
36005033000,2033000,5885,67.6,1,1,5885,2277,746,0,0,0,107,2755,5925,5490,1475,5890,4345,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5885,3065,2820,2129,105,2024,2.76,3.32,2.73,2129,1626,96,407,5885,409,706,4643,571,38023,38,2129,809.02,2129,1579,412,138,0,0,1045,"Census Tract 330, Bronx County, New York",4019,4019,4019,4019,4019,4019,4019,4019,4019,4019,4019,4019,63.4,49.1,39.5,0,0,57,5,2,14.3
36005035800,2035800,8054,56.5,1,0,8054,370,5762,0,179,0,0,1726,8115,7585,5405,2635,1505,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,0,0,0,135,8054,4684,3370,2443,1609,834,3.27,3.34,3.13,2443,1979,219,245,8054,437,626,6221,1093,80979,12.3,2443,300.489,2443,2399,44,0,0,0,638,"Census Tract 358, Bronx County, New York",5599,5599,5599,5599,5599,5599,5599,5599,5599,5599,5599,5599,51.9,42.5,36.2,0.1,0,46,5,2,9.4
36005037100,2037100,4322,76.1,0,3,4322,97,1248,0,18,0,81,2811,4308,3990,1450,3460,3055,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,4322,2785,1537,1739,181,1558,2.46,4.02,2.28,1739,1021,90,628,4322,267,580,3039,739,27925,47.4,1739,824.286,1739,1295,444,0,0,0,750,"Census Tract 371, Bronx County, New York",2594,2594,2594,2594,2594,2594,2594,2594,2594,2594,2594,2594,69.2,49.6,27.2,0.5,0.3,69,5,2,19.6
36005038500,2038500,4757,69.5,1,3,4757,12,1388,0,0,0,0,3357,4757,4310,1330,4130,3705,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,4757,3386,1371,1674,26,1648,2.8,2.19,2.81,1674,1070,134,470,4757,590,713,3389,466,20466,58.2,1674,974.268,1674,1265,400,9,0,0,751,"Census Tract 385, Bronx County, New York",2743,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743,62,47.9,27.7,0.3,0,59,5,2,14.1
36005042100,2042100,5763,71.8,1,1,5763,571,770,0,671,0,0,3448,5887,5250,1480,5490,4755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,355,0,0,0,0,0,0,50,35,0,30,0,0,0,0,0,50,0,85,0,0,0,0,0,0,0,5763,3764,1999,2149,93,2056,2.65,2.85,2.65,2149,1822,113,214,5763,604,843,4173,483,34827,35.1,2149,754.299,2149,1608,447,94,0,0,1092,"Census Tract 421, Bronx County, New York",3675,3675,3675,3675,3675,3675,3675,3675,3675,3675,3675,3675,65.5,55.7,47.2,0,0,62,5,2,9.8
36005045101,2045101,1544,72,1,0,1544,1170,44,0,111,0,0,172,1537,1425,1130,250,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1544,1228,316,754,242,512,2.05,2.42,1.87,754,652,7,95,1544,116,78,1105,287,80833,10.7,754,80.678,754,734,15,5,0,0,200,"Census Tract 451.01, Bronx County, New York",1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,64.6,57,48.5,0.2,0,61,5,2,7.6
36005011800,2011800,5400,71.3,1,0,5400,3487,163,0,280,7,0,1415,5220,5015,3735,1460,840,90,0,275,0,25,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,35,0,50,0,0,0,0,0,0,0,0,0,5400,4760,640,1605,1114,491,2.49,2.48,2.51,1605,1355,14,236,5400,341,334,4051,795,84063,18,1605,288.9,1605,1537,56,12,0,0,552,"Census Tract 118, Bronx County, New York",3846,3846,3846,3846,3846,3846,3846,3846,3846,3846,3846,3846,64.3,51.5,42.5,0,0,57.9645,5,2,12.8
36005020400,2020400,3091,65.1,1,3,3091,224,252,0,556,0,36,2011,3264,3075,1015,2745,2300,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,65,0,0,50,0,40,0,0,0,0,0,0,0,3091,1869,1222,1043,252,791,2.93,3.34,2.8,1043,785,61,197,3091,187,291,2450,334,50275,21.5,1043,224.245,1043,896,71,48,28,0,636,"Census Tract 204, Bronx County, New York",2196,2196,2196,2196,2196,2196,2196,2196,2196,2196,2196,2196,58,42.7,27.6,0.2,0.1,53,5,2,15.3
36005024800,2024800,3053,69.6,1,0,3053,1537,378,17,275,0,0,838,2998,2885,1285,2090,825,0,0,315,0,0,0,0,60,0,250,0,0,0,0,0,0,0,0,0,395,55,0,0,40,0,0,0,110,0,0,0,40,0,0,0,0,0,0,0,0,0,3053,2144,909,1100,292,808,2.48,3.08,2.27,1100,935,31,134,3053,88,218,2044,776,58553,17.1,1100,188.1,1100,890,34,155,21,0,503,"Census Tract 248, Bronx County, New York",1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,64.5,51.6,44.5,0.1,0,60,5,2,12.9
36005040800,2040800,4595,64,1,2,4595,406,2669,9,33,0,52,1329,4710,4225,2750,2000,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,4595,2603,1992,1611,260,1351,2.85,3.87,2.66,1611,1122,150,339,4595,486,626,3414,350,31685,46.8,1611,753.948,1611,1355,164,0,0,92,434,"Census Tract 408, Bronx County, New York",2969,2969,2969,2969,2969,2969,2969,2969,2969,2969,2969,2969,58,44.2,27,0.2,0.2,53,5,2,13.8
36005048400,2048400,4126,60.2,1,0,4126,114,3265,0,9,0,24,635,4244,4050,3170,1120,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,155,4126,2264,1862,1246,711,535,3.28,3.33,3.23,1246,1066,50,130,4126,137,384,3370,439,73600,12.9,1246,160.734,1246,1234,12,0,0,0,315,"Census Tract 484, Bronx County, New York",2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,2867,53.83427,40.8811,35.99531,0.19942,0.09971,48,5,2,12.95317
36005024700,2024700,2037,72.6,1,1,2037,25,898,0,6,0,0,1100,1884,1795,725,1505,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,2037,1120,917,769,38,731,2.65,2.32,2.67,769,519,99,151,2037,116,233,1630,194,44973,24.9,769,191.481,769,658,98,0,0,13,376,"Census Tract 247, Bronx County, New York",1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,69.1,59,50,0.5,0.3,63,5,2,10.1
36005026602,2026602,5207,70.4,1,0,5207,1883,469,0,110,0,0,2649,5714,5390,2425,3740,2660,0,0,410,50,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5207,4101,1106,2432,584,1848,2.14,2.52,2.02,2432,1951,34,447,5207,208,665,3638,1059,57386,25.5,2432,620.16,2432,2300,32,76,24,0,1391,"Census Tract 266.02, Bronx County, New York",3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,3108,64.7,51.1,41.1,0.3,0.3,63,5,2,13.6
36005036400,2036400,2688,60.3,1,0,2688,1,2189,123,0,0,0,326,2474,2405,2000,445,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,30,2688,1549,1139,832,508,324,3.22,3.27,3.14,832,613,73,146,2688,103,376,2047,381,61071,12.9,832,107.328,832,818,14,0,0,0,144,"Census Tract 364, Bronx County, New York",1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,54.6,37.6,30.6,0,0,46,5,2,17
36005044902,2044902,1876,61.5,1,0,1876,1396,179,0,87,0,0,193,1882,1775,1435,370,140,0,0,65,0,40,0,0,0,0,50,0,0,0,0,0,15,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1876,1247,629,821,320,501,2.26,2.49,2.11,821,635,37,149,1876,115,214,1295,316,66705,20.7,821,169.947,821,818,0,3,0,0,198,"Census Tract 449.02, Bronx County, New York",1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208,54.5,44.6,38.6,0,0,52,5,2,9.9
36005022300,2022300,5078,79.8,0,3,5078,55,691,40,9,0,15,4077,5275,5070,1135,6070,5725,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,130,0,0,0,0,5078,2866,2212,1845,0,1845,2.75,-,2.75,1845,1166,87,592,5078,179,678,4074,529,26537,48,1845,885.6,1845,1411,397,0,0,37,995,"Census Tract 223, Bronx County, New York",3408,3408,3408,3408,3408,3408,3408,3408,3408,3408,3408,3408,76.1,56.8,32.2,0.1,0.1,73,5,2,19.3
36005025400,2025400,2097,68.6,1,0,2097,1209,90,0,221,0,30,524,2325,2175,1250,1305,705,0,0,165,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,60,0,0,0,50,0,0,0,70,20,0,0,0,0,0,0,0,0,2097,1594,503,778,374,404,2.67,2.95,2.41,778,618,30,130,2097,137,172,1512,354,50735,26.5,778,206.17,778,706,37,21,14,0,283,"Census Tract 254, Bronx County, New York",1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,60.3,47.6,38.5,0,0,58,5,2,12.7
36005029600,2029600,1592,72.5,1,0,1592,323,229,0,471,0,0,564,1650,1510,740,850,380,0,0,30,0,0,0,0,75,0,0,0,0,0,0,45,0,0,0,0,0,0,0,80,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1592,949,643,698,121,577,2.19,2.61,2.1,698,577,41,80,1592,81,146,1213,200,56250,16.4,698,114.472,698,567,36,62,33,0,306,"Census Tract 296, Bronx County, New York",1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,65.7,51.3,44.7,0.1,0,60,5,2,14.4
36005037600,2037600,2319,66.6,1,1,2319,141,765,44,53,0,0,1311,2257,2125,815,1710,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,30,0,0,0,25,2319,1462,857,784,256,528,2.84,2.52,2.99,784,575,57,152,2319,141,292,1722,335,51250,31.1,784,243.824,784,613,117,22,22,10,379,"Census Tract 376, Bronx County, New York",1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,61.9,40.8,35.3,0,0,57,5,2,21.1
36005002701,2002701,2868,74.2,0,3,2868,0,865,0,0,0,18,1985,2958,2735,825,2755,2475,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,2868,2204,664,1061,0,1061,2.7,-,2.7,1061,720,16,325,2868,201,724,2139,243,20599,59.8,1061,634.478,1061,769,286,6,0,0,414,"Census Tract 27.01, Bronx County, New York",1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,70.1,46.2,24.2,0.2,0.1,69,5,2,23.9
36005006500,2006500,5312,71.8,1,3,5312,231,1681,0,103,0,16,3281,5471,5010,1435,5160,4390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,310,0,0,0,0,5312,3732,1580,1948,45,1903,2.68,2.16,2.69,1948,1362,27,559,5312,448,859,4021,372,23737,52.4,1948,1020.752,1948,1414,464,31,0,39,745,"Census Tract 65, Bronx County, New York",3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,65.9,49.4,29.8,0.3,0.1,64,5,2,16.5
36005015700,2015700,4427,67.6,1,3,4427,49,721,0,109,0,39,3509,4515,4235,1450,3725,3540,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4427,3148,1279,1516,168,1348,2.9,3.45,2.83,1516,1003,53,460,4427,304,578,3432,377,33864,39.7,1516,601.852,1516,1262,238,0,0,16,879,"Census Tract 157, Bronx County, New York",3093,3093,3093,3093,3093,3093,3093,3093,3093,3093,3093,3093,58,40.2,26.4,0.3,0.2,55,5,2,17.8
36005006700,2006700,7256,75,0,3,7256,14,2109,0,0,96,33,5004,7314,6605,1850,7235,6185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,0,0,0,185,7256,4694,2562,2336,124,2212,3.1,2.26,3.15,2336,1272,171,893,7256,427,1428,5169,774,22662,56.1,2336,1310.496,2336,1624,633,0,0,79,1173,"Census Tract 67, Bronx County, New York",4358,4358,4358,4358,4358,4358,4358,4358,4358,4358,4358,4358,70.3,50.2,28.3,0.3,0,67,5,2,20.1
36005040702,2040702,6891,72.6,1,3,6891,361,610,0,295,0,17,5478,7050,6095,1560,6375,5780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,295,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6891,3869,3022,2624,126,2498,2.6,3.44,2.56,2624,1776,207,641,6891,841,483,4798,943,36462,29.6,2624,776.704,2624,1830,700,9,39,46,1321,"Census Tract 407.02, Bronx County, New York",4289,4289,4289,4289,4289,4289,4289,4289,4289,4289,4289,4289,67.3,53.1,31,0.5,0.3,63,5,2,14.2
36005038000,2038000,5378,62.7,1,2,5378,96,3518,0,117,0,0,1637,5225,4825,3120,2455,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,635,0,0,0,30,5378,3545,1833,1915,616,1299,2.8,2.67,2.87,1915,1378,158,379,5378,477,869,3946,539,34659,42.6,1915,815.79,1915,1724,86,29,20,56,439,"Census Tract 380, Bronx County, New York",3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,54.4,43.1,25.1,0,0,53,5,2,11.3
36005002500,2002500,5887,73.2,0,3,5887,95,1162,0,7,0,53,4562,5760,5260,1610,5385,5235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,5887,3731,2156,1947,91,1856,3.02,2.82,3.03,1947,1102,59,786,5887,559,916,4353,548,24530,50.9,1947,991.023,1947,1435,479,13,0,20,1001,"Census Tract 25, Bronx County, New York",3689,3689,3689,3689,3689,3689,3689,3689,3689,3689,3689,3689,66.4,46.2,25.2,0.4,0.2,65,5,2,20.2
36005006100,2006100,3697,67.7,1,2,3697,116,2599,0,17,0,0,889,3869,3720,3120,795,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3697,3164,533,2143,1042,1101,1.73,1.67,1.78,2143,1502,138,503,3697,82,50,2538,1056,46554,24.8,2143,531.464,2143,1999,127,17,0,0,308,"Census Tract 61, Bronx County, New York",2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,59,66.2,33.6,0.4,0.1,56,5,2,-7.2
36005022701,2022701,5194,74.3,0,3,5194,53,1943,0,102,0,0,3096,5702,5255,1410,5450,4485,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,30,0,0,0,0,0,0,0,0,0,0,0,150,0,40,0,0,555,0,0,0,0,5194,2945,2249,1856,51,1805,2.68,2.33,2.69,1856,1431,53,372,5194,348,684,3847,564,31214,45,1856,835.2,1856,1319,518,10,9,0,835,"Census Tract 227.01, Bronx County, New York",3445,3445,3445,3445,3445,3445,3445,3445,3445,3445,3445,3445,68.4,53.5,35.2,0.1,0.1,64,5,2,14.9
36005007900,2007900,7054,76,0,3,7054,10,1788,0,0,54,0,5120,7051,6260,1860,6505,6165,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,7054,4733,2321,2377,26,2351,2.92,4.31,2.9,2377,1606,161,610,7054,869,1011,4952,603,25589,49.2,2377,1169.484,2377,1747,595,35,0,0,1067,"Census Tract 79, Bronx County, New York",4114,4114,4114,4114,4114,4114,4114,4114,4114,4114,4114,4114,69.6,51.8,30.2,0.2,0,71,5,2,17.8
36005016700,2016700,3625,68.8,1,3,3625,40,1483,0,0,0,0,2061,3269,2895,1075,2470,1955,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,295,0,0,0,0,3625,2621,1004,1033,57,976,3.12,3.26,3.11,1033,712,60,261,3625,421,876,2616,164,31902,35.1,1033,362.583,1033,909,119,5,0,0,586,"Census Tract 167, Bronx County, New York",1974,1974,1974,1974,1974,1974,1974,1974,1974,1974,1974,1974,61.2,49.1,31.1,0.3,0.1,59,5,2,12.1
36005022401,2022401,2637,72.7,1,3,2637,198,496,0,143,0,58,1734,2625,2440,1000,1830,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,85,0,0,0,0,2637,1906,731,1134,145,989,2.32,1.52,2.44,1134,833,17,284,2637,159,266,2030,280,51397,24.4,1134,276.696,1134,1008,108,9,9,0,697,"Census Tract 224.01, Bronx County, New York",1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,70.1,55.2,33.2,0.3,0.1,66,5,2,14.9
36005002800,2002800,5269,76.5,0,2,5269,54,2952,0,29,0,0,2086,5423,5005,3200,2360,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,5269,4564,705,2309,458,1851,2.28,2.65,2.19,2309,1594,81,634,5269,294,537,3747,978,52479,14.2,2309,327.878,2309,2163,125,0,0,21,620,"Census Tract 28, Bronx County, New York",3296,3296,3296,3296,3296,3296,3296,3296,3296,3296,3296,3296,73.1,61.7,31.8,0.3,0.1,71,5,2,11.4
36005015800,2015800,1082,61.9,1,2,1082,343,70,0,30,0,0,612,1234,1135,615,625,475,0,0,95,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1082,816,266,469,198,271,2.3,2.22,2.35,469,340,6,123,1082,78,131,661,296,43661,26.3,469,123.347,469,448,21,0,0,0,209,"Census Tract 158, Bronx County, New York",561,561,561,561,561,561,561,561,561,561,561,561,57.2,46.6,22.7,0.2,0,50,5,2,10.6
36005021800,2021800,7017,69,1,3,7017,204,1907,0,166,0,0,4740,6765,6100,2180,5065,4845,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,120,0,0,0,0,7017,4313,2704,2320,486,1834,3,3.23,2.94,2320,1732,64,524,7017,697,926,4984,823,39596,29.5,2320,684.4,2320,2067,253,0,0,0,1503,"Census Tract 218, Bronx County, New York",4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,63.2,46.4,29.1,0.2,0,59,5,2,16.8
36005033800,2033800,4176,62.8,1,1,4176,232,1568,0,340,0,28,1986,4350,3970,1520,3365,2455,0,60,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,75,0,0,0,0,0,0,0,95,0,0,0,0,0,60,0,0,35,0,0,0,160,4176,2089,2087,1425,221,1204,2.92,3.38,2.84,1425,1084,140,201,4176,369,436,3142,453,40077,30.1,1425,428.925,1425,1175,203,41,0,6,707,"Census Tract 338, Bronx County, New York",2842,2842,2842,2842,2842,2842,2842,2842,2842,2842,2842,2842,56.7,41.4,35.9,0.1,0,52,5,2,15.3
36005036502,2036502,2328,68.2,1,3,2328,25,640,0,0,0,0,1647,2182,1975,605,1915,1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,2328,1484,844,717,49,668,3.11,4,3.04,717,504,20,193,2328,228,296,1757,186,31893,40.9,717,293.253,717,629,88,0,0,0,426,"Census Tract 365.02, Bronx County, New York",1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,61.4,44.4,28.3,0.2,0,60,5,2,17
36005007200,2007200,5891,69.6,1,3,5891,402,621,0,1893,0,0,2623,5520,4970,1085,5370,2770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1805,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,5891,2581,3310,1633,293,1340,3.61,4.4,3.43,1633,1185,127,321,5891,535,720,4204,813,39154,36.1,1633,589.513,1633,1397,125,91,20,0,1144,"Census Tract 72, Bronx County, New York",3636,3636,3636,3636,3636,3636,3636,3636,3636,3636,3636,3636,63.8,45.5,28,0.5,0.3,57,5,2,18.3
36005012101,2012101,2906,73.1,0,3,2906,75,853,0,30,0,0,1915,2970,2710,910,2655,2245,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,170,0,30,135,0,0,0,0,2906,1871,1035,926,236,690,3.01,3.14,2.96,926,659,56,211,2906,265,382,2272,199,35588,39.5,926,365.77,926,767,143,0,3,13,486,"Census Tract 121.01, Bronx County, New York",1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,64.7,47.5,29.3,0.6,0.4,64,5,2,17.2
36005012102,2012102,1509,77.4,0,3,1509,11,173,0,0,0,0,1318,1561,1455,440,1350,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1509,1192,317,511,4,507,2.95,5,2.94,511,360,21,130,1509,71,191,1254,104,22396,59.3,511,303.023,511,430,81,0,0,0,346,"Census Tract 121.02, Bronx County, New York",1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,69.6,49.8,28.7,0.2,0,70,5,2,19.8
36005012300,2012300,4095,73.7,0,3,4095,65,1159,4,35,0,0,2818,3995,3685,1560,2860,2840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4095,2908,1187,1499,113,1386,2.66,5.35,2.44,1499,1010,47,442,4095,284,503,3139,479,29089,47.4,1499,710.526,1499,1215,276,0,8,0,739,"Census Tract 123, Bronx County, New York",2597,2597,2597,2597,2597,2597,2597,2597,2597,2597,2597,2597,68,52.1,30.2,0.3,0.2,62.9559,5,2,15.9
36005013300,2013300,5995,78.1,0,3,5995,55,2078,87,229,0,32,3514,5934,5355,2325,4125,3910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,5995,4482,1513,2352,130,2222,2.53,2.44,2.54,2352,1706,29,617,5995,310,686,4502,776,22182,53.5,2352,1258.32,2352,1955,397,0,0,0,994,"Census Tract 133, Bronx County, New York",3925,3925,3925,3925,3925,3925,3925,3925,3925,3925,3925,3925,75.1,56.4,30.7,0.4,0.1,72,5,2,18.7
36005014300,2014300,1399,74.1,0,1,1399,25,641,16,0,0,0,700,1193,1145,440,935,550,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,1399,847,552,642,28,614,2.18,5.46,2.03,642,427,36,179,1399,57,233,1112,98,15455,62.8,642,403.176,642,577,60,5,0,0,268,"Census Tract 143, Bronx County, New York",953,953,953,953,953,953,953,953,953,953,953,953,69.7,44.8,39.5,0.2,0.2,58,5,2,24.9
